file_A onset_A offset_A file_B onset_B offset_B "d(A, B)"
geo020s08a0008v01 0.749358 0.961481 geo020s08a0057v01 0.774185 0.979869 0.0848222068335
geo020s08a0023v01 0.656796 0.913126 geo020s08a0057v01 0.774185 0.979869 0.100487041638
geo020s08a0059v01 0.74669 0.952843 geo020s08a0057v01 0.774185 0.979869 0.102055653337
geo020s08a0064v01 0.646078 0.841372 geo020s08a0057v01 0.774185 0.979869 0.102111393895
geo020s08a0068v01 0.814684 1.007574 geo020s08a0057v01 0.774185 0.979869 0.0944805287605
geo020s08a0070v01 0.663168 0.865928 geo020s08a0057v01 0.774185 0.979869 0.0925059622162
geo020s08a0082v01 0.624177 0.806174 geo020s08a0057v01 0.774185 0.979869 0.109292314361
geo020s08a0084v01 0.632335 0.817321 geo020s08a0057v01 0.774185 0.979869 0.0906409149181
geo020s08a0086v01 0.555576 0.746346 geo020s08a0057v01 0.774185 0.979869 0.0719770040208
geo020s08a0087v01 0.885794 1.091383 geo020s08a0057v01 0.774185 0.979869 0.104815190833
geo020s08a0098v01 0.697107 0.906689 geo020s08a0057v01 0.774185 0.979869 0.106156633673
geo020s08a0105v01 0.776023 1.005891 geo020s08a0057v01 0.774185 0.979869 0.0831056545533
geo020s08a0107v01 0.751399 0.94525 geo020s08a0057v01 0.774185 0.979869 0.0792615988949
geo020s08a0115v01 0.95126 1.162241 geo020s08a0057v01 0.774185 0.979869 0.105804549573
geo020s08a0116v01 0.782357 0.957425 geo020s08a0057v01 0.774185 0.979869 0.11168038721
geo020s08a0119v01 0.898461 1.140734 geo020s08a0057v01 0.774185 0.979869 0.0847823734647
geo020s08a0120v01 0.588214 0.787455 geo020s08a0057v01 0.774185 0.979869 0.0810243029405
geo020s08a0128v01 0.67874 0.848858 geo020s08a0057v01 0.774185 0.979869 0.106282154907
geo020s08a0133v01 0.795091 1.001877 geo020s08a0057v01 0.774185 0.979869 0.0973793885702
geo020s08a0137v01 0.711285 0.901406 geo020s08a0057v01 0.774185 0.979869 0.0934863526936
geo020s08a0141v01 0.755768 0.961358 geo020s08a0057v01 0.774185 0.979869 0.0806415281726
geo020s08a0158v01 0.90654 1.085538 geo020s08a0057v01 0.774185 0.979869 0.0828765967884
geo020s08a0192v01 0.737476 0.920889 geo020s08a0057v01 0.774185 0.979869 0.0835570347915
geo020s08a0194v01 0.658023 0.818327 geo020s08a0057v01 0.774185 0.979869 0.112988795982
geo020s08a0197v01 0.847269 1.04311 geo020s08a0057v01 0.774185 0.979869 0.106454409328
geo020s08a0201v01 0.782428 0.980646 geo020s08a0057v01 0.774185 0.979869 0.0932388359795
geo020s08a0203v01 0.693165 0.881949 geo020s08a0057v01 0.774185 0.979869 0.080780591725
geo020s08a0215v01 0.740317 0.927306 geo020s08a0057v01 0.774185 0.979869 0.101407784061
geo020s08a0217v01 0.797378 0.986752 geo020s08a0057v01 0.774185 0.979869 0.0799854450013
geo020s08a0219v01 0.811493 1.035365 geo020s08a0057v01 0.774185 0.979869 0.0837644891146
geo020s08a0240v01 0.831724 1.02012 geo020s08a0057v01 0.774185 0.979869 0.0832173936423
geo020s08a0250v01 0.640772 0.856449 geo020s08a0057v01 0.774185 0.979869 0.101399944555
geo020s08a0008v01 0.749358 0.961481 geo020s08a0059v01 0.74669 0.952843 0.0936024712732
geo020s08a0023v01 0.656796 0.913126 geo020s08a0059v01 0.74669 0.952843 0.11139385423
geo020s08a0057v01 0.774185 0.979869 geo020s08a0059v01 0.74669 0.952843 0.102055653337
geo020s08a0064v01 0.646078 0.841372 geo020s08a0059v01 0.74669 0.952843 0.0710686662632
geo020s08a0068v01 0.814684 1.007574 geo020s08a0059v01 0.74669 0.952843 0.0593210367663
geo020s08a0070v01 0.663168 0.865928 geo020s08a0059v01 0.74669 0.952843 0.0730833478173
geo020s08a0082v01 0.624177 0.806174 geo020s08a0059v01 0.74669 0.952843 0.0744383580749
geo020s08a0084v01 0.632335 0.817321 geo020s08a0059v01 0.74669 0.952843 0.0945072750495
geo020s08a0086v01 0.555576 0.746346 geo020s08a0059v01 0.74669 0.952843 0.0963427219979
geo020s08a0087v01 0.885794 1.091383 geo020s08a0059v01 0.74669 0.952843 0.0781905706252
geo020s08a0098v01 0.697107 0.906689 geo020s08a0059v01 0.74669 0.952843 0.0896466698973
geo020s08a0105v01 0.776023 1.005891 geo020s08a0059v01 0.74669 0.952843 0.107072070524
geo020s08a0107v01 0.751399 0.94525 geo020s08a0059v01 0.74669 0.952843 0.0988899234833
geo020s08a0115v01 0.95126 1.162241 geo020s08a0059v01 0.74669 0.952843 0.100486324033
geo020s08a0116v01 0.782357 0.957425 geo020s08a0059v01 0.74669 0.952843 0.0835570610402
geo020s08a0119v01 0.898461 1.140734 geo020s08a0059v01 0.74669 0.952843 0.0750780561335
geo020s08a0120v01 0.588214 0.787455 geo020s08a0059v01 0.74669 0.952843 0.0983235093132
geo020s08a0128v01 0.67874 0.848858 geo020s08a0059v01 0.74669 0.952843 0.0871035883461
geo020s08a0133v01 0.795091 1.001877 geo020s08a0059v01 0.74669 0.952843 0.108724783437
geo020s08a0137v01 0.711285 0.901406 geo020s08a0059v01 0.74669 0.952843 0.0767923004542
geo020s08a0141v01 0.755768 0.961358 geo020s08a0059v01 0.74669 0.952843 0.106197183985
geo020s08a0158v01 0.90654 1.085538 geo020s08a0059v01 0.74669 0.952843 0.0858074238814
geo020s08a0192v01 0.737476 0.920889 geo020s08a0059v01 0.74669 0.952843 0.0890973956612
geo020s08a0194v01 0.658023 0.818327 geo020s08a0059v01 0.74669 0.952843 0.0736582668304
geo020s08a0197v01 0.847269 1.04311 geo020s08a0059v01 0.74669 0.952843 0.0703112556386
geo020s08a0201v01 0.782428 0.980646 geo020s08a0059v01 0.74669 0.952843 0.0616955536982
geo020s08a0203v01 0.693165 0.881949 geo020s08a0059v01 0.74669 0.952843 0.0657878735511
geo020s08a0215v01 0.740317 0.927306 geo020s08a0059v01 0.74669 0.952843 0.0699593935864
geo020s08a0217v01 0.797378 0.986752 geo020s08a0059v01 0.74669 0.952843 0.10266378706
geo020s08a0219v01 0.811493 1.035365 geo020s08a0059v01 0.74669 0.952843 0.109900586811
geo020s08a0240v01 0.831724 1.02012 geo020s08a0059v01 0.74669 0.952843 0.103995139092
geo020s08a0250v01 0.640772 0.856449 geo020s08a0059v01 0.74669 0.952843 0.086769166466
geo020s08a0008v01 0.749358 0.961481 geo020s08a0064v01 0.646078 0.841372 0.0971284150537
geo020s08a0023v01 0.656796 0.913126 geo020s08a0064v01 0.646078 0.841372 0.0993895975987
geo020s08a0057v01 0.774185 0.979869 geo020s08a0064v01 0.646078 0.841372 0.102111393895
geo020s08a0059v01 0.74669 0.952843 geo020s08a0064v01 0.646078 0.841372 0.0710686662632
geo020s08a0068v01 0.814684 1.007574 geo020s08a0064v01 0.646078 0.841372 0.0705448739076
