file_A;onset_A;offset_A;#item_A;phone_A;new_A;file_B;onset_B;offset_B;#item_B;phone_B;speaker;question_B;new;dist
geo020s08a0105v01;0.834203;0.963203;#111;pa;new;geo020s08a0023v01;0.756105;0.885105;#23;p>a;s08;question;new;0.127652171084
geo020s08a0107v01;0.793341;0.922341;#115;p>a;new;geo020s08a0023v01;0.756105;0.885105;#23;p>a;s08;question;new;0.0874282148145
geo020s08a0115v01;0.998281;1.127281;#123;pa;new;geo020s08a0023v01;0.756105;0.885105;#23;p>a;s08;question;new;0.128048119676
geo020s08a0116v01;0.822226;0.951226;#125;p>a;new;geo020s08a0023v01;0.756105;0.885105;#23;p>a;s08;question;new;0.152239857333
geo020s08a0119v01;0.945455;1.074455;#129;p>a;new;geo020s08a0023v01;0.756105;0.885105;#23;p>a;s08;question;new;0.0785756767315
geo020s08a0120v01;0.634487;0.763487;#131;pa;new;geo020s08a0023v01;0.756105;0.885105;#23;p>a;s08;question;new;0.126150015623
geo020s08a0128v01;0.710235;0.839235;#139;p>a;new;geo020s08a0023v01;0.756105;0.885105;#23;p>a;s08;question;new;0.120669916757
geo020s08a0133v01;0.854538;0.983538;#145;p>a;new;geo020s08a0023v01;0.756105;0.885105;#23;p>a;s08;question;new;0.0986260592887
geo020s08a0137v01;0.76199;0.89099;#150;p>a;new;geo020s08a0023v01;0.756105;0.885105;#23;p>a;s08;question;new;0.135559562542
geo020s08a0141v01;0.803768;0.932768;#155;pa;new;geo020s08a0023v01;0.756105;0.885105;#23;p>a;s08;question;new;0.109378941378
geo020s08a0158v01;0.947753;1.076753;#179;p>a;new;geo020s08a0023v01;0.756105;0.885105;#23;p>a;s08;question;new;0.0754495512661
geo020s08a0192v01;0.785025;0.914025;#213;p>a;new;geo020s08a0023v01;0.756105;0.885105;#23;p>a;s08;question;new;0.0946136119613
geo020s08a0194v01;0.702436;0.831436;#217;p>a;new;geo020s08a0023v01;0.756105;0.885105;#23;p>a;s08;question;new;0.148038593084
geo020s08a0197v01;0.903041;1.032041;#220;p>a;new;geo020s08a0023v01;0.756105;0.885105;#23;p>a;s08;question;new;0.11364423811
geo020s08a0201v01;0.835774;0.964774;#227;p>a;new;geo020s08a0023v01;0.756105;0.885105;#23;p>a;s08;question;new;0.1149453027
