 file_A onset_A offset_A file_B onset_B offset_B "d(A, B)"
36 geo020s08a0086v01 0.746346 0.831146 geo020s08a0219v01 1.035365 1.124219 0.0631431204647
37 geo020s08a0105v01 1.005891 1.081061 geo020s08a0219v01 1.035365 1.124219 0.076879015695
38 geo020s08a0107v01 0.94525 1.030563 geo020s08a0219v01 1.035365 1.124219 0.0810959252992
39 geo020s08a0126v01 1.309196 1.386125 geo020s08a0219v01 1.035365 1.124219 0.0857801893828
40 geo020s08a0217v01 0.986752 1.072811 geo020s08a0219v01 1.035365 1.124219 0.0435895162671
41 geo020s08a0240v01 1.02012 1.106425 geo020s08a0219v01 1.035365 1.124219 0.0709950161536
42 geo020s08a0084v01 0.817321 0.890953 geo020s08a0240v01 1.02012 1.106425 0.063661721839
43 geo020s08a0086v01 0.746346 0.831146 geo020s08a0240v01 1.02012 1.106425 0.0634803888682
44 geo020s08a0105v01 1.005891 1.081061 geo020s08a0240v01 1.02012 1.106425 0.0564790542484
45 geo020s08a0107v01 0.94525 1.030563 geo020s08a0240v01 1.02012 1.106425 0.0714366706395
46 geo020s08a0126v01 1.309196 1.386125 geo020s08a0240v01 1.02012 1.106425 0.100691265216
47 geo020s08a0217v01 0.986752 1.072811 geo020s08a0240v01 1.02012 1.106425 0.0708514930866
48 geo020s08a0219v01 1.035365 1.124219 geo020s08a0240v01 1.02012 1.106425 0.0709950161536
0 geo020s09a0120v02 0.844353 0.913541 geo020s09a0119v02 0.982432 1.059735 0.0702924335504
1 geo020s09a0221v02 1.035334 1.10605 geo020s09a0119v02 0.982432 1.059735 0.0839489884096
2 geo020s09a0119v02 0.982432 1.059735 geo020s09a0120v02 0.844353 0.913541 0.0702924335504
3 geo020s09a0221v02 1.035334 1.10605 geo020s09a0120v02 0.844353 0.913541 0.0794279078221
0 geo020s09a0057v01 1.874305 2.002329 geo020s09a0045v01 1.415956 1.486712 0.124174928561
1 geo020s09a0080v01 1.210721 1.288513 geo020s09a0045v01 1.415956 1.486712 0.107582756815
2 geo020s09a0180v01 1.145317 1.214692 geo020s09a0045v01 1.415956 1.486712 0.0678354208939
3 geo020s09a0192v01 1.144809 1.246073 geo020s09a0045v01 1.415956 1.486712 0.0992163649192
4 geo020s09a0213v01 1.281384 1.368419 geo020s09a0045v01 1.415956 1.486712 0.105780816746
5 geo020s09a0045v01 1.415956 1.486712 geo020s09a0057v01 1.874305 2.002329 0.124174928561
6 geo020s09a0080v01 1.210721 1.288513 geo020s09a0057v01 1.874305 2.002329 0.084814113483
7 geo020s09a0180v01 1.145317 1.214692 geo020s09a0057v01 1.874305 2.002329 0.133436607209
8 geo020s09a0192v01 1.144809 1.246073 geo020s09a0057v01 1.874305 2.002329 0.0876905749246
9 geo020s09a0213v01 1.281384 1.368419 geo020s09a0057v01 1.874305 2.002329 0.0898492775803
10 geo020s09a0045v01 1.415956 1.486712 geo020s09a0080v01 1.210721 1.288513 0.107582756815
11 geo020s09a0057v01 1.874305 2.002329 geo020s09a0080v01 1.210721 1.288513 0.084814113483
12 geo020s09a0180v01 1.145317 1.214692 geo020s09a0080v01 1.210721 1.288513 0.140975838823
13 geo020s09a0192v01 1.144809 1.246073 geo020s09a0080v01 1.210721 1.288513 0.0550524481021
14 geo020s09a0213v01 1.281384 1.368419 geo020s09a0080v01 1.210721 1.288513 0.0551798862196
15 geo020s09a0045v01 1.415956 1.486712 geo020s09a0180v01 1.145317 1.214692 0.0678354208939
16 geo020s09a0057v01 1.874305 2.002329 geo020s09a0180v01 1.145317 1.214692 0.133436607209
17 geo020s09a0080v01 1.210721 1.288513 geo020s09a0180v01 1.145317 1.214692 0.140975838823
18 geo020s09a0192v01 1.144809 1.246073 geo020s09a0180v01 1.145317 1.214692 0.142363495335
19 geo020s09a0213v01 1.281384 1.368419 geo020s09a0180v01 1.145317 1.214692 0.135881418815
20 geo020s09a0045v01 1.415956 1.486712 geo020s09a0192v01 1.144809 1.246073 0.0992163649192
21 geo020s09a0057v01 1.874305 2.002329 geo020s09a0192v01 1.144809 1.246073 0.0876905749246
22 geo020s09a0080v01 1.210721 1.288513 geo020s09a0192v01 1.144809 1.246073 0.0550524481021
